size,ijk_float,jki_float,kij_float,ijk_double,jki_double,kij_double
295,6.27993e+07,8.28312e+07,6.51326e+07,6.22856e+07,8.29507e+07,6.72666e+07
296,6.28241e+07,8.34489e+07,6.58754e+07,6.39571e+07,8.34088e+07,6.1813e+07
297,6.37532e+07,8.43742e+07,6.80768e+07,6.25636e+07,8.44806e+07,6.88487e+07
298,6.28862e+07,8.50386e+07,6.78616e+07,6.27913e+07,8.54054e+07,6.86561e+07
299,6.49454e+07,8.71402e+07,6.91065e+07,6.5691e+07,8.75979e+07,6.81646e+07
300,6.50385e+07,8.7287e+07,6.55638e+07,6.48578e+07,8.75814e+07,6.58517e+07
301,6.71006e+07,8.8445e+07,6.95942e+07,6.74191e+07,8.97061e+07,7.14437e+07
302,6.72107e+07,8.98867e+07,6.77371e+07,6.85116e+07,9.1228e+07,6.98652e+07
303,6.75081e+07,9.11208e+07,7.09489e+07,6.78283e+07,9.17527e+07,7.19935e+07
304,6.89802e+07,9.12682e+07,6.75998e+07,6.95321e+07,9.26384e+07,7.02811e+07
305,7.01455e+07,9.21903e+07,7.3938e+07,6.97603e+07,9.17006e+07,7.88202e+07
306,7.02903e+07,9.24683e+07,6.99506e+07,6.94111e+07,9.40694e+07,7.34172e+07
307,7.13822e+07,9.46896e+07,7.41854e+07,7.03119e+07,9.43499e+07,7.55477e+07
308,7.02066e+07,9.38194e+07,7.19837e+07,7.03472e+07,9.49774e+07,7.20339e+07
309,7.08338e+07,9.43697e+07,7.44554e+07,7.22198e+07,9.55108e+07,7.61198e+07
310,7.33547e+07,9.63122e+07,7.50183e+07,7.35728e+07,9.79512e+07,7.41444e+07
311,7.3731e+07,9.72843e+07,7.92842e+07,7.37365e+07,9.86756e+07,7.99639e+07
312,7.39163e+07,9.89957e+07,7.4061e+07,7.42978e+07,9.94235e+07,7.39147e+07
313,7.49511e+07,9.89936e+07,7.99045e+07,7.36391e+07,9.92611e+07,7.93549e+07
314,7.45525e+07,9.93362e+07,7.7533e+07,7.51817e+07,9.97139e+07,7.82195e+07
315,8.05073e+07,9.98741e+07,9.00595e+07,8.02395e+07,1.00947e+08,8.5284e+07
316,7.61631e+07,1.01231e+08,7.60364e+07,7.64429e+07,1.02555e+08,7.69523e+07
