size,ijk_float,jki_float,kij_float,ijk_double,jki_double,kij_double
163,5.40863e+08,6.26698e+08,3.40429e+08,3.5373e+08,4.88834e+08,4.15595e+08
164,3.9878e+08,7.49223e+08,2.24015e+08,7.27966e+08,2.9346e+08,3.84387e+08
165,7.07785e+08,5.3385e+08,4.86635e+08,4.24361e+08,5.75593e+08,3.5039e+08
166,7.08428e+08,4.89579e+08,5.06501e+08,3.84202e+08,4.22471e+08,3.83836e+08
167,5.02949e+08,5.83516e+08,4.76316e+08,3.92343e+08,5.06762e+08,3.65219e+08
168,4.74812e+08,5.92373e+08,3.65144e+08,6.96953e+08,3.98249e+08,4.58471e+08
169,6.22544e+08,4.08159e+08,5.86193e+08,5.58075e+08,3.98341e+08,4.74792e+08
170,5.42052e+08,5.50127e+08,5.39572e+08,4.2739e+08,6.42927e+08,3.44982e+08
171,5.23681e+08,5.36882e+08,3.22222e+08,5.88088e+08,6.7289e+08,5.65079e+08
172,6.45951e+08,5.7112e+08,3.44554e+08,6.08253e+08,7.5861e+08,3.8035e+08
173,7.44166e+08,8.37082e+08,3.14266e+08,5.03222e+08,6.98366e+08,2.63524e+08
174,4.89075e+08,7.6897e+08,5.11741e+08,4.88125e+08,5.08638e+08,3.78493e+08
175,6.01276e+08,6.62192e+08,5.49928e+08,4.58071e+08,5.50044e+08,5.08613e+08
176,6.29974e+08,5.53552e+08,4.28299e+08,5.68905e+08,6.15237e+08,4.43993e+08
177,5.59473e+08,7.31437e+08,4.81939e+08,3.56173e+08,7.65079e+08,4.86489e+08
178,7.27663e+08,6.05574e+08,4.93101e+08,7.26101e+08,6.09908e+08,2.80318e+08
179,7.71317e+08,5.36352e+08,3.5507e+08,6.87697e+08,6.36907e+08,3.46398e+08
180,5.61442e+08,6.81146e+08,4.87526e+08,6.00489e+08,6.70011e+08,7.02478e+08
181,4.78385e+08,8.83015e+08,4.86014e+08,6.58865e+08,7.37479e+08,5.46233e+08
182,8.70672e+08,7.4075e+08,4.86441e+08,6.34175e+08,6.09648e+08,3.94282e+08
183,6.89688e+08,6.60291e+08,6.12716e+08,7.02127e+08,6.32486e+08,4.93862e+08
184,7.96378e+08,8.69396e+08,5.8231e+08,6.67503e+08,7.51233e+08,4.1954e+08
185,7.45428e+08,1.05837e+09,4.75193e+08,6.78085e+08,6.0257e+08,3.5461e+08
186,6.35165e+08,7.18334e+08,7.47009e+08,6.79591e+08,7.60561e+08,4.74721e+08
187,9.14088e+08,9.82902e+08,4.4949e+08,7.0576e+08,7.20053e+08,4.31936e+08
188,8.84004e+08,6.41033e+08,4.61829e+08,7.7452e+08,7.45496e+08,5.58969e+08
189,9.42203e+08,7.22194e+08,5.11613e+08,7.32568e+08,6.37425e+08,5.68468e+08
190,7.53735e+08,6.89093e+08,6.91239e+08,8.13653e+08,6.15769e+08,6.81782e+08
191,9.27761e+08,6.77628e+08,5.45815e+08,8.09349e+08,7.68561e+08,4.91704e+08
192,8.67159e+08,8.0115e+08,6.13492e+08,7.0578e+08,6.16609e+08,7.75311e+08
193,7.47395e+08,9.52108e+08,5.34024e+08,8.33045e+08,7.64545e+08,5.67033e+08
194,9.01096e+08,9.64861e+08,5.12963e+08,9.89376e+08,7.73058e+08,5.39796e+08
195,9.91979e+08,8.58146e+08,6.03955e+08,8.79048e+08,8.29578e+08,6.88164e+08
196,8.78682e+08,8.16474e+08,5.86175e+08,1.12156e+09,7.50439e+08,5.66575e+08
197,8.78375e+08,7.77102e+08,7.08336e+08,8.22809e+08,7.88466e+08,6.54386e+08
198,1.02293e+09,1.02229e+09,6.19533e+08,8.14788e+08,7.70312e+08,6.08642e+08
199,1.09536e+09,8.67594e+08,6.59122e+08,7.4002e+08,8.32124e+08,6.30946e+08
200,8.23849e+08,1.05026e+09,6.21847e+08,9.98275e+08,8.30753e+08,5.94016e+08
201,1.01487e+09,9.59134e+08,7.17633e+08,9.44194e+08,7.89432e+08,7.27605e+08
202,9.06962e+08,9.12015e+08,6.53061e+08,8.03718e+08,6.99693e+08,8.06392e+08
203,9.96267e+08,9.31098e+08,7.65603e+08,8.25026e+08,9.53961e+08,7.1129e+08
204,9.37408e+08,8.98444e+08,7.30337e+08,1.1352e+09,9.98327e+08,6.42439e+08
205,1.17172e+09,8.28022e+08,8.44476e+08,1.08706e+09,9.34166e+08,8.09633e+08
206,1.15057e+09,8.40796e+08,7.27192e+08,9.61002e+08,9.86368e+08,5.93234e+08
207,9.67098e+08,9.66297e+08,8.04328e+08,9.29747e+08,8.18267e+08,8.0561e+08
208,1.22095e+09,9.3723e+08,7.72089e+08,9.7313e+08,8.85673e+08,6.35381e+08
209,1.24952e+09,8.7688e+08,7.47453e+08,1.10771e+09,7.82116e+08,7.6844e+08
210,1.14454e+09,8.89024e+08,8.34079e+08,9.20198e+08,8.57752e+08,8.55113e+08
211,1.16199e+09,1.1133e+09,6.47112e+08,1.2806e+09,8.57974e+08,6.67986e+08
212,1.21097e+09,1.15412e+09,7.74989e+08,1.03548e+09,1.16917e+09,6.38772e+08
213,1.23153e+09,1.158e+09,9.74123e+08,7.3367e+08,1.01534e+09,6.67976e+08
214,1.20264e+09,1.07095e+09,9.74827e+08,1.02638e+09,1.096e+09,7.04857e+08
215,1.1042e+09,1.16259e+09,9.01441e+08,1.0505e+09,1.04372e+09,8.31732e+08
216,1.09344e+09,1.16003e+09,8.61196e+08,1.16512e+09,1.00813e+09,6.87468e+08
217,1.17118e+09,1.1272e+09,8.97592e+08,1.15056e+09,1.05825e+09,8.98422e+08
